timestamp,cpu_usage,network_rx_rps,memory_usage_mb,restart_rate,label
2026-04-14 19:13:42,0.3626,487.528,1700.5,0.0,2
2026-04-14 19:13:57,0.3598,285.1836,1696.625,0.0,2
2026-04-14 19:14:13,0.3125,124.6994,1695.168,0.0,2
2026-04-14 19:14:28,0.2568,42.9789,1697.2617,0.0,2
2026-04-14 19:14:44,0.2779,93.2217,1682.2422,0.0,2
2026-04-14 19:14:59,0.327,160.5258,1702.2969,0.0,2
2026-04-14 19:15:15,0.2966,166.902,1708.8086,0.0,2
2026-04-14 19:15:31,0.3354,144.1537,1729.6016,0.0,2
2026-04-14 19:15:46,0.281,125.8293,1733.3398,0.0,2
2026-04-14 19:16:01,0.266,90.4261,1760.8398,0.0,2
2026-04-14 19:16:17,0.2979,91.9383,1738.9453,0.0,2
2026-04-14 19:16:32,0.204,112.2188,742.2188,0.0,2
2026-04-14 19:16:48,0.1181,91.5711,743.457,0.0,2
2026-04-14 19:17:03,0.0497,83.9135,746.6719,0.0,2
2026-04-14 19:17:18,0.1871,63.4465,869.1367,0.0333,2
2026-04-14 19:17:34,0.2424,77.5366,1000.2812,0.0333,2
2026-04-14 19:17:49,0.2534,69.1137,1041.7617,0.0,2
2026-04-14 19:18:05,0.2182,73.6602,1006.5703,0.0,2
2026-04-14 19:18:20,0.2858,78.5776,1052.4297,0.0,2
2026-04-14 19:18:35,0.3131,89.5531,1125.6836,0.0,2
2026-04-14 19:18:51,0.3066,116.3629,1140.832,0.0333,2
2026-04-14 19:19:06,0.2953,204.5256,1155.7188,0.0333,2
2026-04-14 19:19:22,0.3014,292.1436,1200.1719,0.0,2
2026-04-14 19:19:37,0.3798,375.2763,1190.4648,0.0,2
2026-04-14 19:19:53,0.3849,367.1605,1252.918,0.0,2
2026-04-14 19:20:08,0.3031,216.1164,1335.957,0.0,2
2026-04-14 19:20:23,0.2406,82.9963,1369.4922,0.0,2
2026-04-14 19:20:39,0.2828,175.2201,1367.3359,0.0,2
2026-04-14 19:20:54,0.275,284.8592,1365.3477,0.0,2
2026-04-14 19:21:10,0.2983,186.2168,1427.6211,0.0,2
2026-04-14 19:21:25,0.3092,166.9459,1463.3828,0.0,2
2026-04-14 19:21:41,0.2968,136.1636,1565.4883,0.0,2
2026-04-14 19:21:56,0.3241,101.9929,1537.1523,0.0,2
2026-04-14 19:22:11,0.2819,120.6656,1614.207,0.0,2
2026-04-14 19:22:27,0.288,160.5841,1692.2578,0.0,2
2026-04-14 19:22:42,0.2793,164.7239,1696.2695,0.0,2
2026-04-14 19:22:58,0.3147,131.98,1701.3242,0.0,2
2026-04-14 19:23:13,0.2319,76.0913,1700.5664,0.0,2
2026-04-14 19:23:28,0.2479,61.8579,1701.9141,0.0,2
2026-04-14 19:23:44,0.2254,90.6772,1728.418,0.0,2
2026-04-14 19:23:59,0.301,112.2662,1700.6836,0.0,2
2026-04-14 19:24:15,0.3015,84.6244,1701.7344,0.0,2
2026-04-14 19:24:30,0.275,62.8813,1701.5938,0.0,2
2026-04-14 19:24:45,0.2506,60.7029,1702.8047,0.0,2
2026-04-14 19:25:01,0.2832,86.9672,1703.2539,0.0,2
2026-04-14 19:25:16,0.3003,107.5738,1704.1328,0.0,2
2026-04-14 19:25:32,0.2371,117.1024,1704.6523,0.0,2
2026-04-14 19:25:47,0.2605,85.2061,1705.1016,0.0,2
2026-04-14 19:26:03,0.2243,60.2768,1704.7422,0.0,2
2026-04-14 19:26:18,0.2968,65.9501,1704.8125,0.0,2
2026-04-14 19:26:34,0.2553,116.4542,1705.7188,0.0,2
2026-04-14 19:26:49,0.2646,118.2926,1706.6523,0.0,2
2026-04-14 19:27:05,0.2559,104.0867,1706.7148,0.0,2
2026-04-14 19:27:20,0.287,70.0035,1706.1484,0.0,2
2026-04-14 19:27:36,0.2847,81.6017,1706.9453,0.0,2
2026-04-14 19:27:51,0.2841,86.5019,1705.8984,0.0,2
2026-04-14 19:28:07,0.2598,89.9469,1701.6328,0.0,2
2026-04-14 19:28:22,0.2941,129.0209,1727.1953,0.0,2
2026-04-14 19:28:38,0.3155,183.9903,1698.9883,0.0,2
